Gene	Symbol
TCAM1P	146771
ABCA8	10351
MICAL2	9645
TULP4	56995
LINC00476	100128782
GABRG3	2567
SLC4A8	9498
NIT2	56954
CSMD1	64478
MED12L	116931
COLGALT2	23127
EXOC1L	644145
IGHV3-71	28411
LINC01031	101929184
SUCLG2P4	100130528
PLCL1	5334
MCPH1-AS1	100507530
COL4A4	1286
C3orf67	200844
CDH19	28513
AGBL1	123624
TMED9	54732
CDKAL1	54901
VAT1L	57687
LINC01184	644873
ANO4	121601
CHST1	8534
RAP1BP2	100128179
ARAP2	116984
TRIQK	286144
NDUFA12	55967
FNIP1	96459
TRIP4	9325
SPPL2A	84888
FAM240B	110806297
C2orf76	130355
RPS20P10	100271081
RPS20P25	100271235
LINC00624	100289211
RANP7	100874192
TST	7263
RNU7-106P	106479066
AICDA	57379
ZCCHC10	54819
CIR1P1	100131740
RPL5P26	100271206
AP1S2P1	106480305
LINC01243	101929620
CD24	100133941
PARVB	29780
STK32B	55351
EXOC4	60412
ST18	9705
GOLIM4	27333
ANO3	63982
RSPO4	343637
KAZN	23254
ST6GAL1	6480
DCHS2	54798
HSPA8P9	402143
OTOF	9381
RN7SL782P	106481133
SH3RF1	57630
ASIP	434
RN7SL636P	106481097
MPP3	4356
LAMA1	284217
OVCH1-AS1	101055625
TRIM51CP	100130105
ZNF117	51351
SGK1	6446
NKAIN2	154215
PLPP4	196051
LINC01725	101927587
LINC01838	100652911
LINC00917	732275
VSNL1	7447
TREML2	79865
AP2A2	161
ATM	472
SZT2	23334
KCNK1	3775
CTAGE14P	401018
DCAF7	10238
ALOX12-AS1	100506713
ARL2BPP7	100131629
CHN2	1124
EEF1A1P28	442709
INSIG1	3638
LINC02518	105377957
WDR41	55255
NCS1	23413
ARHGAP20	57569
IL19	29949
SLC8A1-AS1	100128590
SQSTM1	8878
MSH2	4436
SESTD1	91404
COL25A1	84570
RPSAP47	389672
HSPG2	3339
RN7SL271P	106479321
INHCAP	100129696
COL18A1	80781
RAB3D	9545
ZNF813	126017
L3MBTL4	91133
PPP4R3A	55671
DLX5	1749
CADPS2	93664
PDCD1LG2	80380
LUZP2	338645
MEGF10	84466
SLC25A48	153328
MECOM	2122
TERC	7012
FARP1	10160
RNU7-156P	106479083
KHDRBS2-OT	112577463
KCNN2	3781
PRRC2C	23215
DMXL1	1657
RNU6-363P	106479727
LINC01508	101927873
HID1-AS1	102723641
RNU2-9P	106481636
PIFO	128344
HMCN1	83872
CDH1	999
CEP295NL	100653515
LINC02273	100996286
MFSD4BP1	100128154
AHCYL1	10768
NMNAT1P2	100129160
RNU6-649P	106479854
SPRED2	200734
DACH1	1602
C10orf71	118461
CCDC134	79879
MAPK7	5598
MPZL1	9019
ATXN7L1	222255
AZIN1-AS1	100506753
ELMO1	9844
HECW1	23072
RN7SL714P	106480527
ABCB11	8647
KIAA0232	9778
NCKAP5	344148
ZAP70	7535
YAP1	10413
HMGB3P23	100288563
SH2D4B	387694
SLC9A9	285195
WWC1	23286
FBXL13	222235
BNIP3P13	101060192
TCF15	6939
TMEM94	9772
PCSK6	5046
SLMAP	7871
ZNRF4	148066
UNC93B4	643384
RNU7-188P	106480832
SEC24B-AS1	100533182
LINC02150	101929505
HMGA2	8091
UGT1A10	54575
SCAPER	49855
TNXB	7148
SRCIN1	80725
RPL3P11	100131893
RHBDF1	64285
CACNA2D3	55799
LMOD3	56203
LINC01505	100996590
PPIAP59	390956
LIPC-AS1	101928694
LIMS2	55679
CAMK4	814
PLEKHG1	57480
MIR876	100126310
SLC14A2	8170
FTH1P5	2509
CDHR3	222256
LINC02177	101927009
FAM163A	148753
PKMP4	106480443
MTND2P9	100884155
NRXN1	9378
HDAC9	9734
PDS5B	23047
SPSB1	80176
RAB20	55647
CCDC85C	317762
SDR9C7	121214
RNU6-976P	106481488
RELN	5649
FANCD2	2177
SLC4A1AP	22950
CDC42EP3	10602
ADCY8	114
SLC44A5	204962
RNU1-80P	106480174
SORD	6652
KCNN3	3782
PDE1A	5136
OR7E136P	155340
ELL	8178
LINC00634	339674
R3HDM2P2	100129694
RDX	5962
RN7SKP102	106481810
CASP12	100506742
TENM4	26011
TBXAS1	6916
JPH3	57338
NAALADL2	254827
SFT2D2	375035
CDON	50937
CATSPERB	79820
GRIN2B	2904
C12orf40	283461
BMP1	649
BDH1	622
ADARB2	105
NARS2	79731
ALDH4A1	8659
LRAT	9227
ADAMTS9-AS2	100507098
HRK	8739
RBMS3	27303
OTX2P1	100033409
RORA-AS1	101928784
RN7SL193P	106480493
PPIAP17	170540
FBXO40	51725
EGLN3	112399
RAPGEF5	9771
DLC1	10395
SEC24B	10427
RASSF8	11228
AKR7A3	22977
CEP63	80254
ANKRD22	118932
ZNF438	220929
AQP4-AS1	147429
LINC01479	101927922
RN7SKP120	106480870
ANTXR1	84168
CASC18	101929110
CCDC171	203238
PAX5	5079
ATP5PF	522
LINC01960	100128905
DVL2	1856
MYRIP	25924
ERBB4	2066
SNRPGP16	106480270
TOP1	7150
PUM3	9933
STK24	8428
PUS1	80324
LINC01170	103724389
LINC00290	728081
LINC01684	105372751
THSD7A	221981
DAPL1	92196
NHLRC3	387921
SENP7	57337
TMCC1-AS1	100507032
SELENOO	83642
LINC02151	109729162
BAALC-AS1	100499183
CCDC112	153733
IRAK1BP1	134728
BICRA	29998
DNAH6	1768
MDGA2	161357
GDAP1L1	78997
TFEB	7942
OR7E109P	401540
MAP4K4	9448
TRIM56	81844
RNU6-546P	106479809
OVOL2	58495
PCDH7	5099
C5orf64	285668
LIN28B	389421
C2orf83	56918
ATP8A2P3	100874518
PAK2	5062
SLC2A9	56606
LINC02210-CRHR1	104909134
USP10	9100
GPR180	160897
CFAP74	85452
RASSF5	83593
SELP	6403
KSR2	283455
PCNX1	22990
PAX2	5076
POLN	353497
MAP2K5	5607
ANGPT4	51378
ARIH1	25820
LINC02651	105378346
OFCC1	266553
RPL3P8	646620
WNT3	7473
CKAP5	9793
LINC02460	105370013
TAS2R5	54429
NEK10	152110
TMCO4	255104
RPS18P12	388339
LINC02343	105370158
ETS1	2113
MLN	4295
LINC01099	101928656
HIGD1AP3	100859920
LINC01492	101928496
PEX6	5190
NEGR1	257194
SYNGAP1	8831
CPM	1368
RNU6-679P	106479866
GTF2H3	2967
AOX1	316
IQGAP2	10788
PSMC6	5706
SHANK2	22941
RPL23AP44	391825
NRXN3	9369
TIAM2	26230
PKNOX2	63876
C16orf95	100506581
PROX1-AS1	100505832
FAM83E	54854
LRRIQ3	127255
TUSC1	286319
NME9	347736
C5orf67	101928448
RIMBP2	23504
STK11	6794
DIP2C	22982
IL21-AS1	100996941
LINC02667	728327
EFR3A	23167
CCZ1B	221960
TXN	7295
FAT3	120114
SEMA3A	10371
ADGRL2	23266
KIFC3	3801
LINC01789	105373536
DISC1	27185
SLC28A1	9154
RBM19	9904
HAS2-AS1	594842
RN7SKP168	106479170
UTS2B	257313
SPATA48	100130988
MPP7	143098
SERINC5	256987
IRF6	3664
CADM2	253559
BSG	682
MMP3	4314
HNF4G	3174
HLA-DRB9	3132
SCIMP	388325
GAB2	9846
SMARCE1P4	642879
OR4C3	256144
GABRA2	2555
RAC1P2	442775
LINC02498	102723525
CD33	945
LINC02325	101929241
GMNC	647309
CST1	1469
EPDR1	54749
PFDN1	5201
LINC01117	102724224
PDE7B	27115
IL17RD	54756
GEMIN7	79760
LINC01419	103352670
ENPP7P11	100421806
RPL34P19	100271494
RNU6-362P	106481292
RNU6-261P	106481885
CSTF1	1477
ADAMTS1	9510
NCR2	9436
LINC01868	107985924
LINC01567	400511
RPS16P9	645412
RAPSN	5913
RNA5SP431	100873681
SLC10A2	6555
RNU6-478P	106479778
STAG3L5P	101735302
APOC2	344
SUMO2P6	100127922
ETF1	2107
IL6	3569
VSTM2A	222008
LINC02103	105374698
LINC01671	101928233
FAM181A	90050
IQUB	154865
CTHRC1	115908
F2R	2149
KCTD9P6	642513
BANK1	55024
SMC4P1	100421125
LINC00377	103724386
RPS17P2	6219
FOXE1	2304
GTF2IP11	106480346
RFC5P1	100421549
FGF10	2255
SOBP	55084
MRPL39	54148
RPEP2	645065
RPL12P37	100129801
RPL15P2	326279
HTR7	3363
PPP1R3B	79660
ACTL8	81569
RNU6-276P	106479689
MEIKIN	728637
IGHV2-70	28454
RNU6-1037P	106481508
LINC01801	400685
FAT1	2195
MIR7154	102465691
STEAP3	55240
DYSF	8291
SALL4P5	100130785
TEX33	339669
OTOGL	283310
DDX25	29118
ZBED5-AS1	729013
MTATP6P30	107075302
LINC02532	100422737
RN7SL221P	106480982
CLDN18	51208
RN7SKP122	106479148
NR3C2	4306
MIR548AE1	100616305
RPS2P1	140755
LINC01271	101927586
CD300LG	146894
MTDHP1	100418814
LINC01712	101927542
ZNF30-AS1	102723513
LINC01081	101154687
VDAC1P12	100874289
RAPGEF6	51735
C11orf65	160140
HYI	81888
RNU4-77P	106481196
SIK1	150094
HSPA8P5	399988
MTND3P4	100873181
LINC02653	101926942
PQLC1P1	106479032
HPRT1P2	3254
KRAS	3845
PPIAP79	100289244
UBE2Q2P9	106480276
RAB1A	5861
TSPAN16	26526
LINC02535	101928820
LINC02353	101927363
RNU6-637P	106479848
RNU6-67P	100873771
GGACT	87769
RNA5SP189	100873451
CDR2L	30850
EPC2	26122
TIMP2	7077
RNU6-1060P	106480032
RPS17P11	100271072
STRADA	92335
RABEPKP1	100421226
MIR302F	100302131
BLOC1S4	55330
RN7SKP93	106479136
MTCO3P30	107075229
ZNF90	7643
CSNK2A1	1457
LINGO1	84894
PTPRS	5802
SEM1	7979
NACAP6	100132778
HMGA2-AS1	100129940
UGT1A8	54576
EPOP	100170841
ATP5PDP3	138864
FRMD4B	23150
SLC25A6P5	100129319
LINGO2	158038
SYPL1	6856
RPL21P119	653737
RPS19P6	100271078
MTCYBP27	107075133
FANCD2OS	115795
TNRC6C	57690
OR7E59P	402249
CENPM	79019
KBTBD8	84541
LHX1-DT	102723471
LINC02307	105370471
SLC2A13	114134
RORA	6095
RN7SL691P	106481112
MACROD2	140733
STAU2-AS1	100128126
CDCA7L	55536
PRPF19P1	100422496
LINC02664	101929352
C9orf92	100129385
RPSAP24	391462
NFU1P1	100132681
KRT18P16	391827
TMEM106B	54664
BAALC	79870
CTNNA1P1	1498
MIR548Y	100500919
OSER1-DT	100505783
DIRAS2	54769
SERPINE1	5054
DSTNP5	100132132
LINC01876	101929378
MGME1	92667
RNF6	6049
CTAGE12P	392298
LINC00423	100874167
ZNF320	162967
KLHL36	79786
MRPL45	84311
LINC02098	105369564
LINC01016	100507584
LINC01098	285501
MSX2	4488
PPP5D1	100506012
CTNND2	1501
LRIG3	121227
ERO1A	30001
RN7SKP27	106480841
OR7E39P	253933
RNA5SP228	100873486
C9orf152	401546
RAD23BP2	100130572
CNGB1	1258
BMP2	650
TSNAX-DISC1	100303453
DYNLL1P4	100129739
ZFYVE9P2	100420972
KRT18P45	391803
CYP8B1	1582
STAG3L5P-PVRIG2P-PILRB	101752399
LIPC	3990
ZNF468	90333
ACKR2	1238
